step,symp_drift,rk4_drift
0.000000000000000000e+00,2.384185791015625000e-07,4.768371582031250000e-07
1.000000000000000000e+00,3.576278686523437500e-07,1.192092895507812500e-07
2.000000000000000000e+00,1.788139343261718750e-07,6.556510925292968750e-07
3.000000000000000000e+00,4.172325134277343750e-07,4.768371582031250000e-07
4.000000000000000000e+00,2.980232238769531250e-07,2.384185791015625000e-07
5.000000000000000000e+00,0.000000000000000000e+00,1.788139343261718750e-07
6.000000000000000000e+00,5.364418029785156250e-07,4.172325134277343750e-07
7.000000000000000000e+00,1.192092895507812500e-07,4.768371582031250000e-07
8.000000000000000000e+00,2.384185791015625000e-07,4.172325134277343750e-07
9.000000000000000000e+00,4.768371582031250000e-07,7.152557373046875000e-07
1.000000000000000000e+01,4.768371582031250000e-07,8.940696716308593750e-07
1.100000000000000000e+01,8.344650268554687500e-07,3.576278686523437500e-07
1.200000000000000000e+01,6.556510925292968750e-07,4.172325134277343750e-07
1.300000000000000000e+01,7.748603820800781250e-07,1.788139343261718750e-07
1.400000000000000000e+01,5.364418029785156250e-07,3.576278686523437500e-07
1.500000000000000000e+01,2.980232238769531250e-07,4.172325134277343750e-07
1.600000000000000000e+01,1.788139343261718750e-07,5.960464477539062500e-07
1.700000000000000000e+01,8.940696716308593750e-07,4.172325134277343750e-07
1.800000000000000000e+01,9.536743164062500000e-07,5.364418029785156250e-07
1.900000000000000000e+01,6.556510925292968750e-07,4.172325134277343750e-07
2.000000000000000000e+01,4.172325134277343750e-07,2.980232238769531250e-07
2.100000000000000000e+01,5.960464477539062500e-07,2.980232238769531250e-07
2.200000000000000000e+01,4.172325134277343750e-07,4.172325134277343750e-07
2.300000000000000000e+01,2.980232238769531250e-07,2.980232238769531250e-07
2.400000000000000000e+01,4.768371582031250000e-07,1.788139343261718750e-07
2.500000000000000000e+01,7.152557373046875000e-07,2.384185791015625000e-07
2.600000000000000000e+01,5.960464477539062500e-07,4.172325134277343750e-07
2.700000000000000000e+01,4.768371582031250000e-07,5.960464477539062500e-08
2.800000000000000000e+01,8.940696716308593750e-07,1.788139343261718750e-07
2.900000000000000000e+01,7.748603820800781250e-07,2.384185791015625000e-07
3.000000000000000000e+01,7.152557373046875000e-07,5.960464477539062500e-07
3.100000000000000000e+01,3.576278686523437500e-07,3.576278686523437500e-07
3.200000000000000000e+01,5.364418029785156250e-07,4.172325134277343750e-07
3.300000000000000000e+01,7.152557373046875000e-07,4.172325134277343750e-07
3.400000000000000000e+01,6.556510925292968750e-07,2.980232238769531250e-07
3.500000000000000000e+01,4.172325134277343750e-07,1.788139343261718750e-07
3.600000000000000000e+01,5.364418029785156250e-07,4.768371582031250000e-07
3.700000000000000000e+01,4.768371582031250000e-07,3.576278686523437500e-07
3.800000000000000000e+01,7.152557373046875000e-07,1.788139343261718750e-07
3.900000000000000000e+01,6.556510925292968750e-07,4.172325134277343750e-07
4.000000000000000000e+01,7.748603820800781250e-07,1.788139343261718750e-07
4.100000000000000000e+01,3.576278686523437500e-07,2.980232238769531250e-07
4.200000000000000000e+01,4.172325134277343750e-07,2.384185791015625000e-07
4.300000000000000000e+01,3.576278686523437500e-07,1.788139343261718750e-07
4.400000000000000000e+01,1.013278961181640625e-06,5.960464477539062500e-07
4.500000000000000000e+01,3.576278686523437500e-07,3.576278686523437500e-07
4.600000000000000000e+01,5.960464477539062500e-07,2.384185791015625000e-07
4.700000000000000000e+01,8.344650268554687500e-07,5.960464477539062500e-08
4.800000000000000000e+01,1.788139343261718750e-07,5.960464477539062500e-07
4.900000000000000000e+01,4.768371582031250000e-07,3.576278686523437500e-07
5.000000000000000000e+01,4.768371582031250000e-07,3.576278686523437500e-07
5.100000000000000000e+01,8.344650268554687500e-07,4.768371582031250000e-07
5.200000000000000000e+01,1.013278961181640625e-06,5.960464477539062500e-07
5.300000000000000000e+01,7.152557373046875000e-07,2.980232238769531250e-07
5.400000000000000000e+01,1.192092895507812500e-06,5.364418029785156250e-07
5.500000000000000000e+01,4.768371582031250000e-07,4.172325134277343750e-07
5.600000000000000000e+01,5.960464477539062500e-07,4.172325134277343750e-07
5.700000000000000000e+01,8.940696716308593750e-07,4.172325134277343750e-07
5.800000000000000000e+01,5.960464477539062500e-07,2.980232238769531250e-07
5.900000000000000000e+01,1.192092895507812500e-06,5.960464477539062500e-08
6.000000000000000000e+01,4.768371582031250000e-07,4.172325134277343750e-07
6.100000000000000000e+01,7.152557373046875000e-07,8.344650268554687500e-07
6.200000000000000000e+01,1.788139343261718750e-07,3.576278686523437500e-07
6.300000000000000000e+01,8.344650268554687500e-07,4.172325134277343750e-07
6.400000000000000000e+01,5.364418029785156250e-07,2.980232238769531250e-07
6.500000000000000000e+01,2.980232238769531250e-07,3.576278686523437500e-07
6.600000000000000000e+01,7.152557373046875000e-07,2.980232238769531250e-07
6.700000000000000000e+01,1.788139343261718750e-07,2.384185791015625000e-07
6.800000000000000000e+01,2.980232238769531250e-07,1.788139343261718750e-07
6.900000000000000000e+01,1.788139343261718750e-07,2.384185791015625000e-07
7.000000000000000000e+01,7.152557373046875000e-07,5.364418029785156250e-07
7.100000000000000000e+01,5.960464477539062500e-07,2.980232238769531250e-07
7.200000000000000000e+01,3.576278686523437500e-07,5.960464477539062500e-07
7.300000000000000000e+01,3.576278686523437500e-07,5.364418029785156250e-07
7.400000000000000000e+01,4.172325134277343750e-07,2.980232238769531250e-07
7.500000000000000000e+01,2.384185791015625000e-07,2.980232238769531250e-07
7.600000000000000000e+01,6.556510925292968750e-07,2.980232238769531250e-07
7.700000000000000000e+01,2.384185791015625000e-07,4.768371582031250000e-07
7.800000000000000000e+01,3.576278686523437500e-07,4.172325134277343750e-07
7.900000000000000000e+01,3.576278686523437500e-07,5.960464477539062500e-08
8.000000000000000000e+01,4.172325134277343750e-07,3.576278686523437500e-07
8.100000000000000000e+01,5.960464477539062500e-07,1.788139343261718750e-07
8.200000000000000000e+01,1.072883605957031250e-06,5.960464477539062500e-08
8.300000000000000000e+01,8.940696716308593750e-07,4.768371582031250000e-07
8.400000000000000000e+01,9.536743164062500000e-07,5.364418029785156250e-07
8.500000000000000000e+01,5.960464477539062500e-07,5.960464477539062500e-07
8.600000000000000000e+01,7.748603820800781250e-07,3.576278686523437500e-07
8.700000000000000000e+01,5.960464477539062500e-07,4.172325134277343750e-07
8.800000000000000000e+01,4.172325134277343750e-07,4.172325134277343750e-07
8.900000000000000000e+01,6.556510925292968750e-07,2.384185791015625000e-07
9.000000000000000000e+01,1.072883605957031250e-06,3.576278686523437500e-07
9.100000000000000000e+01,4.768371582031250000e-07,1.788139343261718750e-07
9.200000000000000000e+01,5.960464477539062500e-07,5.960464477539062500e-07
9.300000000000000000e+01,8.940696716308593750e-07,5.364418029785156250e-07
9.400000000000000000e+01,4.768371582031250000e-07,1.788139343261718750e-07
9.500000000000000000e+01,7.152557373046875000e-07,2.384185791015625000e-07
9.600000000000000000e+01,7.152557373046875000e-07,1.192092895507812500e-07
9.700000000000000000e+01,7.152557373046875000e-07,2.384185791015625000e-07
9.800000000000000000e+01,3.576278686523437500e-07,2.384185791015625000e-07
9.900000000000000000e+01,8.344650268554687500e-07,1.788139343261718750e-07
1.000000000000000000e+02,5.364418029785156250e-07,3.576278686523437500e-07
